Customer_id,Product ID,Transaction Type,Category,Amount (In Dollars),Purchase Date,Payment Mode,Sentiment Category,Recommendations
CUST2025A,201,Luxury Shopping,Gucci,3000,2025-05-01 00:00:00,Credit Card,Neutral,Savings Account Upgrade
ORG_US_004,202,Retail Space Lease,New Flagship store,500000,2025-10-02 00:00:00,Wire Transfer,Neutral,Savings Account Upgrade
CUST2025S,203,Luxury Travel Booking,London Business Trip,4500,2025-10-02 00:00:00,Amex Platinum,Neutral,Savings Account Upgrade
ORG_US_007,204,Research & Development,Sustainable Fabric Innovations,2500000,2/29/2025,Wire Transfer,Neutral,Savings Account Upgrade
CUST2025A,205,Stock Investment,Equity,25000,2025-02-01 00:00:00,Auto Debit,Neutral,Savings Account Upgrade
CUST2025A,206,Travel Booking,International Flight,5000,2/17/2025,Credit Card,Neutral,Savings Account Upgrade
ORG_US_002,207,Marketing Promotions,Branding and Social Media Ads,150000,3/30/2025,ACH Debit,Neutral,Savings Account Upgrade
CUST2025U,208,Investment Contribution,Hedge Fund,50000,2024-10-12 00:00:00,Wire Transfer,Neutral,Savings Account Upgrade
ORG_US_006,209,Fabric Procurement,Italian Silk & Cashmere,1000000,2/23/2025,Bank Wire,Neutral,Savings Account Upgrade
CUST2025E,210,Flight Booking,New York to Tokyo,1200,2025-01-03 00:00:00,Chase Sapphire Travel Card,Neutral,Savings Account Upgrade
ORG_US_006,211,Expansion Loan,New Flagship stores,5000000,1/15/2025,Business Loan,Neutral,Savings Account Upgrade
CUST2025A,212,Loan EMI,Car Loan,1000,2025-05-01 00:00:00,Auto Debit,Neutral,Savings Account Upgrade
CUST2025B,213,IRA Contribution,Vanguard,500,2025-10-01 00:00:00,Net Banking,Neutral,Savings Account Upgrade
ORG_US_006,214,E-Commerce Tech Investment,AI-Powered Personalization,7000000,2025-05-03 00:00:00,Bank Transfer,Neutral,Savings Account Upgrade
CUST2025D,215,Grocery Shopping,Costco,100,1/20/2025,Debit Card,Neutral,Savings Account Upgrade
ORG_US_001,216,Cloud Services Fees,AWS and Microsoft Azure,100000,2/20/2025,Corporate Card,Neutral,Savings Account Upgrade
CUST2025S,217,Mortgage Payment,Home Loan Repayment,3500,2025-05-03 00:00:00,Auto Debit,Neutral,Savings Account Upgrade
CUST2025P,218,BNPL Purchase,PlayStation,800,1/25/2025,Affirm,Neutral,Savings Account Upgrade
ORG_US_005,219,Technology Investment,AI-Powered E-commerce Platform,3500000,9/13/2024,Business Loan,Neutral,Savings Account Upgrade
CUST2025D,220,Fixed Deposit,Bank CD,10000,1/30/2025,Net Banking,Neutral,Savings Account Upgrade
ORG_US_002,221,Supplier Payments,Organic Seeds and Materials,800000,2025-01-01 00:00:00,Wire Transfer,Neutral,Savings Account Upgrade
CUST2025C,222,BNPL Purchase,iPhone,1200,2025-04-02 00:00:00,Amex Platinum,Neutral,Savings Account Upgrade
CUST2025E,223,Hotel Stay,Maldives Resort,850,2/16/2025,Amex Platinum,Neutral,Savings Account Upgrade
ORG_US_004,224,Marketing Spend,Influencer And Digital Ads,1200000,1/29/2025,Corporate Credit Card,Neutral,Savings Account Upgrade
CUST2025A,225,Loan EMI,Loans,1000,2025-10-01 00:00:00,Auto Debit,Neutral,Savings Account Upgrade
CUST2025B,226,Grocery Shopping,Walmart,250,2025-09-02 00:00:00,Debit Card,Neutral,Savings Account Upgrade
ORG_US_001,227,Business Loan Repayment,Term Loan,50000,2/14/2025,Auto Debit,Neutral,Savings Account Upgrade
CUST2025J,228,Grocery Shopping,Whole Foods,150,2/14/2025,Credit Card,Neutral,Savings Account Upgrade
CUST2025D,229,Pharmacy Bill,Walgreens,75,2/19/2025,Credit Card,Neutral,Savings Account Upgrade
ORG_US_001,230,Payroll Processing,Employee Salaries,200000,1/29/2025,ACH Transfer,Neutral,Savings Account Upgrade
CUST2025C,231,Crypto Investment,Ethereum,5000,2025-05-03 00:00:00,PayPal,Neutral,Savings Account Upgrade
ORG_US_004,232,Supplier Payments,Sustainable Fabric Import,350000,1/30/2025,Bank Transfer,Neutral,Savings Account Upgrade
CUST2025U,233,Luxury Travel Booking,Villa in Tuscany,6500,2/20/2025,Amex Black Card,Neutral,Savings Account Upgrade
CUST2025B,234,Mortgage Payment,Wells Fargo,2500,2/25/2025,Auto Debit,Neutral,Savings Account Upgrade
ORG_US_005,235,Marketing & Events,Sports Sponsorships & Promotions,150000,2025-01-03 00:00:00,Corporate Credit Card,Neutral,Savings Account Upgrade
CUST_IND_50,PROD_50,Purchase,Entertainment,4870,2024-10-13 09:57:46.797000,Debit Card,Neutral,Savings Account Upgrade
CUST_IND_26,PROD_48,Purchase,Healthcare,4098,2024-11-02 09:57:46.797000,Credit Card,Positive,Savings Account Upgrade
CUST_IND_26,PROD_48,Purchase,Healthcare,4098,2024-11-02 09:57:46.797000,Credit Card,Positive,Savings Account Upgrade
CUST_IND_98,PROD_42,Subscription,Electronics,4463,2024-09-06 09:57:46.797000,Cash,Negative,"Low-Interest Credit Card, Debt Management Consultation"
